Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1002,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:18:20
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1007,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:18:39
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1008,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:18:57
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:19:11
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:19:27
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1009,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:19:44
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:19:58
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1005,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:20:16
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:20:38
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1002,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:20:58
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1006,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:21:15
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:21:32
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:21:53
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1006,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:22:12
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:22:28
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:22:46
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1005,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:23:01
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:23:18
18,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1001,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:23:35
19,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1006,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:23:58
20,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1008,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:24:20
21,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1002,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:24:38
22,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1003,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:24:54
23,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1005,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:25:12
24,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1006,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:25:30
25,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:25:47
26,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:26:00
27,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1001,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:26:20
28,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:26:35
29,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 1000,Zufall,1010,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:26:56
