Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:44
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 5,0,5,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 5,Zufall,5,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:12:45
