Game Number,Player 1 Name,Player 2 Name,Player 1 Moves,Player 2 Moves,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
141,RandomPlayer,MiniMax w/ CustomHeuristic,15,15,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
142,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
143,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
144,MiniMax w/ CustomHeuristic,RandomPlayer,17,16,Depth: 4,Zufall,4,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
145,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 5,0,5,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
146,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 6,Zufall,12,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
147,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 7,0,75,MiniMax w/ CustomHeuristic,2024-10-15 18:43:51
148,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 8,Zufall,1079,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:20
149,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 9,0,681,MiniMax w/ CustomHeuristic,2024-10-15 18:44:34
150,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:34
151,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:34
152,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:34
153,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:34
154,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 4,Zufall,2,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:34
155,RandomPlayer,MiniMax w/ CustomHeuristic,15,14,Zufall,Depth: 5,0,42,RandomPlayer,2024-10-15 18:44:34
156,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 6,Zufall,15,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:35
157,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 7,0,88,MiniMax w/ CustomHeuristic,2024-10-15 18:44:37
158,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 8,Zufall,943,0,MiniMax w/ CustomHeuristic,2024-10-15 18:44:56
159,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 9,0,1352,MiniMax w/ CustomHeuristic,2024-10-15 18:45:27
160,MiniMax w/ CustomHeuristic,RandomPlayer,27,27,Depth: 0,Zufall,0,0,Draw,2024-10-15 18:45:27
161,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:45:27
162,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:45:27
163,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:45:27
164,MiniMax w/ CustomHeuristic,RandomPlayer,24,24,Depth: 4,Zufall,1,0,RandomPlayer,2024-10-15 18:45:27
165,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 5,0,7,MiniMax w/ CustomHeuristic,2024-10-15 18:45:27
166,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 6,Zufall,53,0,MiniMax w/ CustomHeuristic,2024-10-15 18:45:28
167,RandomPlayer,MiniMax w/ CustomHeuristic,28,27,Zufall,Depth: 7,0,44,Draw,2024-10-15 18:45:29
168,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 8,Zufall,135,0,MiniMax w/ CustomHeuristic,2024-10-15 18:45:33
169,RandomPlayer,MiniMax w/ CustomHeuristic,25,24,Zufall,Depth: 9,0,1665,RandomPlayer,2024-10-15 18:46:13
170,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:13
171,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:13
172,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:13
173,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:13
174,MiniMax w/ CustomHeuristic,RandomPlayer,28,28,Depth: 4,Zufall,0,0,Draw,2024-10-15 18:46:13
175,RandomPlayer,MiniMax w/ CustomHeuristic,27,27,Zufall,Depth: 5,0,3,MiniMax w/ CustomHeuristic,2024-10-15 18:46:13
176,MiniMax w/ CustomHeuristic,RandomPlayer,14,13,Depth: 6,Zufall,36,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:14
177,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 7,0,67,MiniMax w/ CustomHeuristic,2024-10-15 18:46:15
178,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 8,Zufall,453,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:25
179,RandomPlayer,MiniMax w/ CustomHeuristic,23,22,Zufall,Depth: 9,0,583,RandomPlayer,2024-10-15 18:46:38
180,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:38
181,RandomPlayer,MiniMax w/ CustomHeuristic,19,18,Zufall,Depth: 1,0,0,RandomPlayer,2024-10-15 18:46:38
182,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:38
183,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:38
184,MiniMax w/ CustomHeuristic,RandomPlayer,15,15,Depth: 4,Zufall,6,0,RandomPlayer,2024-10-15 18:46:38
185,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 5,0,3,MiniMax w/ CustomHeuristic,2024-10-15 18:46:38
186,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 6,Zufall,31,0,MiniMax w/ CustomHeuristic,2024-10-15 18:46:39
187,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 7,0,40,MiniMax w/ CustomHeuristic,2024-10-15 18:46:40
188,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 8,Zufall,1007,0,MiniMax w/ CustomHeuristic,2024-10-15 18:47:02
189,RandomPlayer,MiniMax w/ CustomHeuristic,23,22,Zufall,Depth: 9,0,3564,RandomPlayer,2024-10-15 18:48:20
190,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:20
191,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:20
192,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:20
193,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:20
194,MiniMax w/ CustomHeuristic,RandomPlayer,17,16,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:20
195,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 5,0,3,MiniMax w/ CustomHeuristic,2024-10-15 18:48:20
196,MiniMax w/ CustomHeuristic,RandomPlayer,29,28,Depth: 6,Zufall,19,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:21
197,RandomPlayer,MiniMax w/ CustomHeuristic,28,28,Zufall,Depth: 7,0,51,MiniMax w/ CustomHeuristic,2024-10-15 18:48:22
198,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 8,Zufall,98,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:24
199,RandomPlayer,MiniMax w/ CustomHeuristic,28,28,Zufall,Depth: 9,0,673,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
200,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
201,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
202,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
203,RandomPlayer,MiniMax w/ CustomHeuristic,15,15,Zufall,Depth: 3,0,1,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
204,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 4,Zufall,7,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
205,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 5,0,8,MiniMax w/ CustomHeuristic,2024-10-15 18:48:43
206,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 6,Zufall,39,0,MiniMax w/ CustomHeuristic,2024-10-15 18:48:44
207,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 7,0,44,MiniMax w/ CustomHeuristic,2024-10-15 18:48:45
208,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 8,Zufall,625,0,MiniMax w/ CustomHeuristic,2024-10-15 18:49:00
209,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 9,0,1248,MiniMax w/ CustomHeuristic,2024-10-15 18:49:31
210,MiniMax w/ CustomHeuristic,RandomPlayer,24,24,Depth: 0,Zufall,0,0,Draw,2024-10-15 18:49:31
211,RandomPlayer,MiniMax w/ CustomHeuristic,22,21,Zufall,Depth: 1,0,0,RandomPlayer,2024-10-15 18:49:31
212,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:49:31
213,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:49:32
214,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:49:32
215,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 5,0,8,MiniMax w/ CustomHeuristic,2024-10-15 18:49:32
216,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 6,Zufall,104,0,MiniMax w/ CustomHeuristic,2024-10-15 18:49:34
217,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 7,0,80,MiniMax w/ CustomHeuristic,2024-10-15 18:49:35
218,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 8,Zufall,859,0,MiniMax w/ CustomHeuristic,2024-10-15 18:49:53
219,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 9,0,1875,MiniMax w/ CustomHeuristic,2024-10-15 18:50:26
220,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:26
221,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:26
222,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:26
223,RandomPlayer,MiniMax w/ CustomHeuristic,27,26,Zufall,Depth: 3,0,0,RandomPlayer,2024-10-15 18:50:26
224,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 4,Zufall,3,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:27
225,RandomPlayer,MiniMax w/ CustomHeuristic,21,20,Zufall,Depth: 5,0,4,RandomPlayer,2024-10-15 18:50:27
226,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 6,Zufall,26,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:27
227,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 7,0,39,MiniMax w/ CustomHeuristic,2024-10-15 18:50:28
228,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 8,Zufall,306,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:34
229,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 9,0,757,MiniMax w/ CustomHeuristic,2024-10-15 18:50:53
230,MiniMax w/ CustomHeuristic,RandomPlayer,22,22,Depth: 0,Zufall,0,0,RandomPlayer,2024-10-15 18:50:53
231,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:53
232,MiniMax w/ CustomHeuristic,RandomPlayer,16,15,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:53
233,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:53
234,MiniMax w/ CustomHeuristic,RandomPlayer,17,16,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:53
235,RandomPlayer,MiniMax w/ CustomHeuristic,23,22,Zufall,Depth: 5,0,5,RandomPlayer,2024-10-15 18:50:54
236,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 6,Zufall,31,0,MiniMax w/ CustomHeuristic,2024-10-15 18:50:54
237,RandomPlayer,MiniMax w/ CustomHeuristic,23,22,Zufall,Depth: 7,0,89,RandomPlayer,2024-10-15 18:50:56
238,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 8,Zufall,545,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:07
239,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 9,0,400,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
240,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
241,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
242,MiniMax w/ CustomHeuristic,RandomPlayer,25,25,Depth: 2,Zufall,0,0,Draw,2024-10-15 18:51:15
243,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
244,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
245,RandomPlayer,MiniMax w/ CustomHeuristic,29,29,Zufall,Depth: 5,0,1,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
246,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 6,Zufall,9,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:15
247,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 7,0,21,MiniMax w/ CustomHeuristic,2024-10-15 18:51:16
248,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 8,Zufall,525,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:26
249,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 9,0,520,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
250,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
251,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
252,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
253,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
254,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
255,RandomPlayer,MiniMax w/ CustomHeuristic,30,30,Zufall,Depth: 5,0,1,MiniMax w/ CustomHeuristic,2024-10-15 18:51:39
256,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 6,Zufall,23,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:40
257,RandomPlayer,MiniMax w/ CustomHeuristic,18,18,Zufall,Depth: 7,0,59,MiniMax w/ CustomHeuristic,2024-10-15 18:51:41
258,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 8,Zufall,295,0,MiniMax w/ CustomHeuristic,2024-10-15 18:51:49
259,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 9,0,1204,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
260,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
261,RandomPlayer,MiniMax w/ CustomHeuristic,12,12,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
262,MiniMax w/ CustomHeuristic,RandomPlayer,28,27,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
263,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 3,0,1,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
264,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 4,Zufall,4,0,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
265,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 5,0,8,MiniMax w/ CustomHeuristic,2024-10-15 18:52:19
266,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 6,Zufall,132,0,MiniMax w/ CustomHeuristic,2024-10-15 18:52:22
267,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 7,0,101,MiniMax w/ CustomHeuristic,2024-10-15 18:52:24
268,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 8,Zufall,2174,0,MiniMax w/ CustomHeuristic,2024-10-15 18:53:11
269,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 9,0,2959,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
270,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
271,RandomPlayer,MiniMax w/ CustomHeuristic,24,24,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
272,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
273,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 3,0,0,RandomPlayer,2024-10-15 18:54:14
274,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 4,Zufall,3,0,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
275,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 5,0,6,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
276,MiniMax w/ CustomHeuristic,RandomPlayer,21,20,Depth: 6,Zufall,14,0,MiniMax w/ CustomHeuristic,2024-10-15 18:54:14
277,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 7,0,135,RandomPlayer,2024-10-15 18:54:17
278,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 8,Zufall,8794,0,MiniMax w/ CustomHeuristic,2024-10-15 18:56:56
279,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 9,0,1118,MiniMax w/ CustomHeuristic,2024-10-15 18:57:22
280,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:57:22
281,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 1,0,0,Draw,2024-10-15 18:57:22
282,MiniMax w/ CustomHeuristic,RandomPlayer,29,28,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:57:22
283,RandomPlayer,MiniMax w/ CustomHeuristic,21,20,Zufall,Depth: 3,0,0,RandomPlayer,2024-10-15 18:57:22
284,MiniMax w/ CustomHeuristic,RandomPlayer,25,25,Depth: 4,Zufall,2,0,RandomPlayer,2024-10-15 18:57:22
285,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 5,0,5,MiniMax w/ CustomHeuristic,2024-10-15 18:57:22
286,MiniMax w/ CustomHeuristic,RandomPlayer,16,15,Depth: 6,Zufall,37,0,MiniMax w/ CustomHeuristic,2024-10-15 18:57:22
287,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 7,0,144,MiniMax w/ CustomHeuristic,2024-10-15 18:57:26
288,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 8,Zufall,120,0,MiniMax w/ CustomHeuristic,2024-10-15 18:57:29
289,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 9,0,2885,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
290,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
291,RandomPlayer,MiniMax w/ CustomHeuristic,22,22,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
292,MiniMax w/ CustomHeuristic,RandomPlayer,13,12,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
293,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 3,0,1,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
294,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 4,Zufall,3,0,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
295,RandomPlayer,MiniMax w/ CustomHeuristic,24,24,Zufall,Depth: 5,0,4,MiniMax w/ CustomHeuristic,2024-10-15 18:58:41
296,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 6,Zufall,36,0,MiniMax w/ CustomHeuristic,2024-10-15 18:58:42
297,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 7,0,401,MiniMax w/ CustomHeuristic,2024-10-15 18:58:51
298,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 8,Zufall,220,0,MiniMax w/ CustomHeuristic,2024-10-15 18:58:57
299,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 9,0,583,MiniMax w/ CustomHeuristic,2024-10-15 18:59:10
300,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:59:10
301,RandomPlayer,MiniMax w/ CustomHeuristic,17,17,Zufall,Depth: 1,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:59:10
302,MiniMax w/ CustomHeuristic,RandomPlayer,14,13,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:59:10
303,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 3,0,1,MiniMax w/ CustomHeuristic,2024-10-15 18:59:11
304,MiniMax w/ CustomHeuristic,RandomPlayer,20,19,Depth: 4,Zufall,1,0,MiniMax w/ CustomHeuristic,2024-10-15 18:59:11
305,RandomPlayer,MiniMax w/ CustomHeuristic,25,25,Zufall,Depth: 5,0,4,MiniMax w/ CustomHeuristic,2024-10-15 18:59:11
306,MiniMax w/ CustomHeuristic,RandomPlayer,27,26,Depth: 6,Zufall,17,0,MiniMax w/ CustomHeuristic,2024-10-15 18:59:11
307,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 7,0,164,MiniMax w/ CustomHeuristic,2024-10-15 18:59:14
308,MiniMax w/ CustomHeuristic,RandomPlayer,25,24,Depth: 8,Zufall,169,0,MiniMax w/ CustomHeuristic,2024-10-15 18:59:19
309,RandomPlayer,MiniMax w/ CustomHeuristic,21,21,Zufall,Depth: 9,0,11231,MiniMax w/ CustomHeuristic,2024-10-15 19:03:15
310,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:15
311,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 1,0,0,Draw,2024-10-15 19:03:15
312,MiniMax w/ CustomHeuristic,RandomPlayer,18,17,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:15
313,RandomPlayer,MiniMax w/ CustomHeuristic,21,20,Zufall,Depth: 3,0,0,RandomPlayer,2024-10-15 19:03:15
314,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 4,Zufall,2,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:15
315,RandomPlayer,MiniMax w/ CustomHeuristic,16,15,Zufall,Depth: 5,0,7,RandomPlayer,2024-10-15 19:03:15
316,MiniMax w/ CustomHeuristic,RandomPlayer,26,25,Depth: 6,Zufall,22,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:15
317,RandomPlayer,MiniMax w/ CustomHeuristic,27,27,Zufall,Depth: 7,0,87,MiniMax w/ CustomHeuristic,2024-10-15 19:03:18
318,MiniMax w/ CustomHeuristic,RandomPlayer,30,30,Depth: 8,Zufall,781,0,Draw,2024-10-15 19:03:41
319,RandomPlayer,MiniMax w/ CustomHeuristic,27,27,Zufall,Depth: 9,0,666,MiniMax w/ CustomHeuristic,2024-10-15 19:03:59
320,MiniMax w/ CustomHeuristic,RandomPlayer,15,14,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:59
321,RandomPlayer,MiniMax w/ CustomHeuristic,22,21,Zufall,Depth: 1,0,0,RandomPlayer,2024-10-15 19:03:59
322,MiniMax w/ CustomHeuristic,RandomPlayer,28,27,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:59
323,RandomPlayer,MiniMax w/ CustomHeuristic,19,19,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:59
324,MiniMax w/ CustomHeuristic,RandomPlayer,19,18,Depth: 4,Zufall,4,0,MiniMax w/ CustomHeuristic,2024-10-15 19:03:59
