Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:14
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,305,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:18
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:23
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,300,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:28
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,301,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:34
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,300,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:39
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:45
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,301,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:49
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:53:53
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,300,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:00
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:06
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,301,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:11
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:16
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,301,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:21
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 300,0,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:27
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 300,Zufall,303,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:54:33
