Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
29,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:58
30,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:59
31,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:00
32,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:01
33,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:01
34,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:03
35,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:03
36,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:05
37,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:06
38,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:07
39,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:08
40,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:08
41,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:09
42,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:10
43,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:11
44,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:12
45,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:13
46,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:14
47,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:15
48,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:16
49,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:16
50,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:17
51,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:18
52,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:19
53,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:20
54,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:21
55,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:22
56,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:22
57,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:23
58,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:24
59,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:25
60,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:26
61,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:27
62,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:28
63,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:28
64,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:29
65,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:30
66,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:31
67,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:32
68,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:33
69,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:34
70,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:35
71,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:36
72,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:37
73,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:38
74,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:39
75,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:40
76,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:40
77,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:41
78,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:42
79,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:43
80,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:44
81,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:45
82,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:46
83,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:47
84,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:48
85,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:49
86,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:50
87,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:51
88,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:52
89,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:53
90,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:54
91,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:54
92,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:55
93,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:56
94,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:57
95,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:58
96,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:03:59
97,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:04:00
98,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:04:01
99,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:04:02
