Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:31
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:32
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:33
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:33
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:35
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:35
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:36
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:37
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:38
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:39
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:40
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:41
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:42
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:43
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:44
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:45
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:45
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:46
18,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:48
19,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:49
20,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:50
21,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:51
22,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:51
23,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:52
24,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:53
25,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:54
26,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:55
27,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 50,Zufall,50,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:56
28,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 50,0,50,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:02:57
