Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),28,28,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,24,23,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),28,28,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,24,23,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),23,23,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,32,31,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),28,28,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,28,27,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),22,22,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,26,25,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),28,28,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,21,20,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),21,21,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:54
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,26,25,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),27,27,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,23,22,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),25,25,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,21,20,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
18,RandomPlayer,MonteCarloTreeSearch (Random Simulation),23,23,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
19,MonteCarloTreeSearch (Random Simulation),RandomPlayer,25,24,Ms/Move: 1,Zufall,1,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
20,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1,0,1,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:57:55
