Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
33,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,300,24,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:57:37
34,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,465,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:57:44
35,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,301,559,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:57:53
36,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,157,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:57:58
37,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,1921,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:58:16
38,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,799,303,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:58:28
39,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,365,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:58:35
40,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),16,16,Depth: 7,Ms/Move: 300,41,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:58:40
41,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,12,11,Ms/Move: 300,Depth: 7,301,103,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:58:45
42,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),14,14,Depth: 7,Ms/Move: 300,69,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:58:50
43,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 300,Depth: 7,300,781,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:04
44,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 7,Ms/Move: 300,489,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:13
45,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,71,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:17
46,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 7,Ms/Move: 300,455,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:26
47,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,300,329,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:32
48,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,1943,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:52
49,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,16,15,Ms/Move: 300,Depth: 7,300,79,MonteCarloTreeSearch (Random Simulation),2024-10-13 16:59:58
50,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,127,303,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:03
51,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,12,11,Ms/Move: 300,Depth: 7,300,79,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:07
52,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),17,17,Depth: 7,Ms/Move: 300,97,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:14
53,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,12,11,Ms/Move: 300,Depth: 7,300,81,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:19
54,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 7,Ms/Move: 300,806,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:30
55,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 300,Depth: 7,300,90,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:35
56,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,316,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:00:42
57,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,2710,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:01:06
58,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 7,Ms/Move: 300,302,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:01:12
59,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,14,13,Ms/Move: 300,Depth: 7,300,253,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:01:19
60,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,516,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:01:27
61,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,301,1410,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:01:44
62,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,817,303,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:01:57
63,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,301,642,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:05
64,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,165,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:10
65,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,14,13,Ms/Move: 300,Depth: 7,300,163,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:17
66,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),13,13,Depth: 7,Ms/Move: 300,117,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:22
67,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,301,72,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:26
68,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 7,Ms/Move: 300,1183,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:42
69,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 300,Depth: 7,300,64,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:47
70,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 7,Ms/Move: 300,529,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:02:55
71,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,2922,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:03:21
72,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 7,Ms/Move: 300,1564,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:03:40
73,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,9,8,Ms/Move: 300,Depth: 7,300,733,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:03:48
74,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 7,Ms/Move: 300,458,301,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:03:56
75,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,16,15,Ms/Move: 300,Depth: 7,300,67,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:04:02
76,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 7,Ms/Move: 300,4715,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:04:47
77,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 300,Depth: 7,300,263,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:04:53
78,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),15,15,Depth: 7,Ms/Move: 300,56,300,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:04:58
79,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 300,Depth: 7,300,264,MonteCarloTreeSearch (Random Simulation),2024-10-13 17:05:04
