Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
1,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,16,15,Ms/Move: 500,Depth: 1,501,1,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:48:56
2,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),15,15,Depth: 2,Ms/Move: 500,1,501,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:49:03
3,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 500,Depth: 3,500,0,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:49:10
4,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 4,Ms/Move: 500,7,500,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:49:15
5,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 500,Depth: 5,500,15,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:49:20
6,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),10,10,Depth: 6,Ms/Move: 500,486,500,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:49:30
7,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,13,12,Ms/Move: 500,Depth: 7,502,62,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:49:37
8,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),9,9,Depth: 8,Ms/Move: 500,5927,500,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:50:35
9,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,12,11,Ms/Move: 500,Depth: 9,500,999,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:50:52
