Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),22,22,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:37
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,21,20,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:37
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),22,22,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:37
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,26,25,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:37
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),24,24,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:37
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,23,22,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),24,24,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,20,19,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),21,21,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,23,22,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),23,23,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,23,22,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),20,20,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,20,19,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),27,27,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,17,16,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 2,0,2,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,27,26,Ms/Move: 2,Zufall,2,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:56:38
