Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 0,Ms/Move: 500,0,500,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:53:24
1,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 500,Depth: 1,500,0,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:53:29
2,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),13,13,Depth: 2,Ms/Move: 500,0,504,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:53:35
3,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,12,11,Ms/Move: 500,Depth: 3,501,6,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:53:41
4,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),12,12,Depth: 4,Ms/Move: 500,9,500,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:53:47
5,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 500,Depth: 5,502,202,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:53:54
6,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),13,13,Depth: 6,Ms/Move: 500,160,501,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:54:03
7,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,11,10,Ms/Move: 500,Depth: 7,503,1168,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:54:20
8,MiniMax w/ CustomHeuristic,MonteCarloTreeSearch (Random Simulation),11,11,Depth: 8,Ms/Move: 500,21246,514,MonteCarloTreeSearch (Random Simulation),2024-10-15 15:58:19
9,MonteCarloTreeSearch (Random Simulation),MiniMax w/ CustomHeuristic,10,9,Ms/Move: 500,Depth: 9,500,71872,MonteCarloTreeSearch (Random Simulation),2024-10-15 16:09:11
