Game Number,Player 1 Name,Player 2 Name,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:15
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:17
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:18
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:20
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:22
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:24
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:26
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,101,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:27
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:29
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:31
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:33
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:35
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:37
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:38
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:40
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:42
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:44
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:46
18,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:48
19,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:49
20,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:51
21,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:53
22,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:55
23,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:56
24,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:45:58
25,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:46:00
26,RandomPlayer,MonteCarloTreeSearch (Random Simulation),Zufall,Ms/Move: 100,0,100,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:46:02
27,MonteCarloTreeSearch (Random Simulation),RandomPlayer,Ms/Move: 100,Zufall,100,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 13:46:04
