Game Number,Player 1 Name,Player 2 Name,Player 1 Moves, Player 2 Moves, PlPlayer 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
0,RandomPlayer,MonteCarloTreeSearch (Random Simulation),18,18,Zufall,Ms/Move: 1000,0,1001,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:27:41
1,MonteCarloTreeSearch (Random Simulation),RandomPlayer,14,13,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:27:55
2,RandomPlayer,MonteCarloTreeSearch (Random Simulation),21,21,Zufall,Ms/Move: 1000,0,1005,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:28:16
3,MonteCarloTreeSearch (Random Simulation),RandomPlayer,17,16,Ms/Move: 1000,Zufall,1005,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:28:33
4,RandomPlayer,MonteCarloTreeSearch (Random Simulation),14,14,Zufall,Ms/Move: 1000,0,1009,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:28:47
5,MonteCarloTreeSearch (Random Simulation),RandomPlayer,17,16,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:29:04
6,RandomPlayer,MonteCarloTreeSearch (Random Simulation),16,16,Zufall,Ms/Move: 1000,0,1006,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:29:21
7,MonteCarloTreeSearch (Random Simulation),RandomPlayer,15,14,Ms/Move: 1000,Zufall,1007,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:29:36
8,RandomPlayer,MonteCarloTreeSearch (Random Simulation),23,23,Zufall,Ms/Move: 1000,0,1014,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:29:59
9,MonteCarloTreeSearch (Random Simulation),RandomPlayer,16,15,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:30:15
10,RandomPlayer,MonteCarloTreeSearch (Random Simulation),14,14,Zufall,Ms/Move: 1000,0,1001,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:30:29
11,MonteCarloTreeSearch (Random Simulation),RandomPlayer,25,24,Ms/Move: 1000,Zufall,1005,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:30:54
12,RandomPlayer,MonteCarloTreeSearch (Random Simulation),17,17,Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:31:11
13,MonteCarloTreeSearch (Random Simulation),RandomPlayer,18,17,Ms/Move: 1000,Zufall,1002,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:31:29
14,RandomPlayer,MonteCarloTreeSearch (Random Simulation),20,20,Zufall,Ms/Move: 1000,0,1006,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:31:49
15,MonteCarloTreeSearch (Random Simulation),RandomPlayer,19,18,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:32:08
16,RandomPlayer,MonteCarloTreeSearch (Random Simulation),23,23,Zufall,Ms/Move: 1000,0,1009,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:32:32
17,MonteCarloTreeSearch (Random Simulation),RandomPlayer,17,16,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:32:49
18,RandomPlayer,MonteCarloTreeSearch (Random Simulation),17,17,Zufall,Ms/Move: 1000,0,1001,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:33:06
19,MonteCarloTreeSearch (Random Simulation),RandomPlayer,18,17,Ms/Move: 1000,Zufall,1015,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:33:24
20,RandomPlayer,MonteCarloTreeSearch (Random Simulation),16,16,Zufall,Ms/Move: 1000,0,1004,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:33:40
21,MonteCarloTreeSearch (Random Simulation),RandomPlayer,15,14,Ms/Move: 1000,Zufall,1002,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:33:55
22,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:34:14
23,MonteCarloTreeSearch (Random Simulation),RandomPlayer,10,9,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:34:24
24,RandomPlayer,MonteCarloTreeSearch (Random Simulation),16,16,Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:34:40
25,MonteCarloTreeSearch (Random Simulation),RandomPlayer,21,20,Ms/Move: 1000,Zufall,1010,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:35:01
26,RandomPlayer,MonteCarloTreeSearch (Random Simulation),18,18,Zufall,Ms/Move: 1000,0,1014,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:35:20
27,MonteCarloTreeSearch (Random Simulation),RandomPlayer,14,13,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:35:34
28,RandomPlayer,MonteCarloTreeSearch (Random Simulation),17,17,Zufall,Ms/Move: 1000,0,1004,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:35:51
29,MonteCarloTreeSearch (Random Simulation),RandomPlayer,15,14,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:36:06
30,RandomPlayer,MonteCarloTreeSearch (Random Simulation),17,17,Zufall,Ms/Move: 1000,0,1001,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:36:23
31,MonteCarloTreeSearch (Random Simulation),RandomPlayer,13,12,Ms/Move: 1000,Zufall,1002,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:36:36
32,RandomPlayer,MonteCarloTreeSearch (Random Simulation),20,20,Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:36:56
33,MonteCarloTreeSearch (Random Simulation),RandomPlayer,19,18,Ms/Move: 1000,Zufall,1001,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:37:15
34,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1000,0,1005,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:37:34
35,MonteCarloTreeSearch (Random Simulation),RandomPlayer,18,17,Ms/Move: 1000,Zufall,1008,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:37:52
36,RandomPlayer,MonteCarloTreeSearch (Random Simulation),15,15,Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:38:07
37,MonteCarloTreeSearch (Random Simulation),RandomPlayer,18,17,Ms/Move: 1000,Zufall,1006,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:38:25
38,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1000,0,1003,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:38:44
39,MonteCarloTreeSearch (Random Simulation),RandomPlayer,13,12,Ms/Move: 1000,Zufall,1009,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:38:57
40,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1000,0,1008,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:39:17
41,MonteCarloTreeSearch (Random Simulation),RandomPlayer,15,14,Ms/Move: 1000,Zufall,1002,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:39:32
42,RandomPlayer,MonteCarloTreeSearch (Random Simulation),16,16,Zufall,Ms/Move: 1000,0,1010,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:39:48
43,MonteCarloTreeSearch (Random Simulation),RandomPlayer,14,13,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:40:02
44,RandomPlayer,MonteCarloTreeSearch (Random Simulation),13,13,Zufall,Ms/Move: 1000,0,1005,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:40:15
45,MonteCarloTreeSearch (Random Simulation),RandomPlayer,20,19,Ms/Move: 1000,Zufall,1006,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:40:35
46,RandomPlayer,MonteCarloTreeSearch (Random Simulation),20,20,Zufall,Ms/Move: 1000,0,1000,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:40:55
47,MonteCarloTreeSearch (Random Simulation),RandomPlayer,18,17,Ms/Move: 1000,Zufall,1003,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:41:13
48,RandomPlayer,MonteCarloTreeSearch (Random Simulation),23,23,Zufall,Ms/Move: 1000,0,1002,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:41:36
49,MonteCarloTreeSearch (Random Simulation),RandomPlayer,13,12,Ms/Move: 1000,Zufall,1000,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:41:49
50,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1000,0,1009,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:42:08
51,MonteCarloTreeSearch (Random Simulation),RandomPlayer,15,14,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:42:23
52,RandomPlayer,MonteCarloTreeSearch (Random Simulation),20,20,Zufall,Ms/Move: 1000,0,1004,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:42:43
53,MonteCarloTreeSearch (Random Simulation),RandomPlayer,19,18,Ms/Move: 1000,Zufall,1007,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:43:03
54,RandomPlayer,MonteCarloTreeSearch (Random Simulation),19,19,Zufall,Ms/Move: 1000,0,1004,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:43:22
55,MonteCarloTreeSearch (Random Simulation),RandomPlayer,19,18,Ms/Move: 1000,Zufall,1001,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:43:41
56,RandomPlayer,MonteCarloTreeSearch (Random Simulation),16,16,Zufall,Ms/Move: 1000,0,1005,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:43:57
57,MonteCarloTreeSearch (Random Simulation),RandomPlayer,16,15,Ms/Move: 1000,Zufall,1004,0,MonteCarloTreeSearch (Random Simulation),2024-10-13 14:44:13
